ID,Bereich,Anforderung,Beschreibung,Funktionalitäten,Priorität,Zielrollen,Daten/Objekte,Akzeptanzkriterien,Abhängigkeiten,Hinweise/Risiken
REQ-001,Identity & Zugriff,Login & Zugriff (Admin und Mitglieder),Zugriff für administrative Nutzer sowie Bürger/Mitglieder mit getrennten Berechtigungen.,"• Login für Admin/Backoffice
• Login für Mitgliederportal
• Rollenbasierte Navigation & Menüs",Must,"Admin, Vorstand, Mitglied","User, Rollen",Admin kann sich anmelden und Admin-Funktionen sehen; Mitglied sieht nur Mitgliederfunktionen.,,
REQ-002,Identity & Zugriff,Benutzerverwaltung,"Benutzer anlegen, bearbeiten, deaktivieren und verwalten.","• Benutzer anlegen/bearbeiten/löschen (soft delete)
• Aktiv/Inaktiv setzen
• Passwort zurücksetzen / Einladung per Mail",Must,Admin,User,Admin kann Nutzer verwalten; deaktivierte Nutzer können sich nicht anmelden.,,
REQ-003,Identity & Zugriff,Rollenverwaltung,Rollen definieren und Benutzern zuweisen.,"• Rollen anlegen/ändern
• Rollen zuweisen (mehrfach möglich)
• Standardrollen (z. B. Admin, Kassier, Event-Manager)",Must,Admin,"Rolle, Berechtigung",Rolle steuert sichtbare Menüs und erlaubte Aktionen.,,
REQ-004,Identity & Zugriff,Feingranulare Zugriffskontrolle,Berechtigungen pro Modul/Objekt (nicht nur global).,"• Rechte pro CRUD-Aktion
• Objektbasierte Rechte (z. B. Event nur eigenes)
• Dokumentrechte pro Ordner/Datei",Must,"Admin, Modulverantwortliche","Berechtigung, Event, Dokument",Unberechtigte Aktionen werden serverseitig blockiert und geloggt.,,
REQ-005,Identity & Zugriff,SSO Anbindung (Keycloak / OIDC / SAML),Integration eines zentralen Identity Providers (z. B. Keycloak).,"• OIDC/SAML Login
• Rollen/Claims Mapping
• Single Logout (falls möglich)",Must,"Admin, Mitglied","User, Token",Login über IdP funktioniert; Rollen werden korrekt zugeordnet.,Keycloak/OIDC/SAML,Frühe Entscheidung wichtig (Architektur).
REQ-006,Identity & Zugriff,"Social / Enterprise Logins (Google, Microsoft)",Optionaler Login über externe Provider zusätzlich zum Vereins-Login.,"• Google Sign-In
• Microsoft Entra ID (Azure AD)
• Konto-Verknüpfung mit bestehendem Profil",Should,"Mitglied, Admin","User, ProviderAccount",Benutzer kann Provider verbinden/entkoppeln.,Google/Microsoft OAuth,Datenschutz/Scopes sauber definieren.
REQ-007,Identity & Zugriff,Registrierung & Onboarding,Selbstregistrierung oder Einladung inkl. Profilabschluss.,"• Registrierung (falls gewünscht)
• Einladung per Mail-Link
• Onboarding-Checkliste (Profil, Einwilligungen)",Must,"Mitglied, Admin","User, Member",Neues Mitglied kann Konto erstellen/aktivieren und Profil abschließen.,,
REQ-008,Identity & Zugriff,Passwort Reset & Account Recovery,Sicherer Reset via E-Mail oder IdP-Flow.,"• Reset-Link mit Ablauf
• Rate Limiting
• Support-Reset durch Admin (protokolliert)",Must,"Mitglied, Admin",User,Reset funktioniert; Links sind einmalig und zeitlich begrenzt.,,
REQ-009,Identity & Zugriff,Mehrfaktor-Authentifizierung (MFA),Erhöhte Sicherheit für Admin/Finanzrollen.,"• MFA optional/erzwungen pro Rolle
• TOTP (Authenticator)
• Backup-Codes",Should,"Admin, Kassier","User, MFA",Für Kassierrolle ist MFA aktivierbar/erzwingbar.,,
REQ-010,Identity & Zugriff,Session- und Geräteverwaltung,Kontrolle über aktive Sitzungen und Logout.,"• Session Timeout
• Logout überall
• Geräte/Session-Liste",Should,"Mitglied, Admin",Session,User kann alle Sessions beenden; Timeouts greifen.,,
REQ-011,Identity & Zugriff,Audit Log (Sicherheits- & Datenänderungen),Nachvollziehbarkeit von Änderungen und kritischen Aktionen.,"• Logins/Fehllogins
• Änderungen an Mitglieds-/Finanzdaten
• Exportierbar (CSV)",Must,"Admin, Vorstand, Kassier",AuditEvent,"Änderungen sind mit User, Zeit, Objekt, Aktion nachvollziehbar.",,
REQ-012,Identity & Zugriff,Datenschutz & Einwilligungen (DSGVO),"Einwilligungen, Newsletter-Opt-in, Datenexport und Löschkonzept.","• Consent-Management
• Datenexport (z. B. JSON/ZIP)
• Lösch-/Anonymisierungsworkflow",Must,Admin,"Consent, Member",Einwilligungen werden gespeichert; Export/Löschung ist durchführbar.,,
REQ-013,Mitglieder/CRM,Mitgliederstammdaten (CRM mini),Zentrale Profile für Mitglieder/Bürger.,"• Kontakt- und Adressdaten
• Familien/Haushalt Verknüpfung (optional)
• Tags/Segmente",Must,"Admin, Mitglied",Member,Daten sind pflegbar; Suche findet Mitglieder nach Name/E-Mail.,,
REQ-014,Mitglieder/CRM,Mitgliedschaftsarten & Status,Abbildung verschiedener Mitgliedschaften inkl. Laufzeit.,"• Typen (z. B. Einzel, Familie, Förder)
• Status (aktiv, pausiert, gekündigt)
• Laufzeiten/Verlängerung",Must,"Admin, Kassier",Membership,Statuswechsel ist nachvollziehbar; Verlängerung erzeugt neue Periode.,,
REQ-015,Mitglieder/CRM,Beiträge & Beitragsverwaltung,"Mitgliedsbeiträge, Sollstellungen und Historie.","• Beitragssätze pro Typ
• Jahres-/Monatsbeiträge
• Soll/Ist Übersicht",Must,"Kassier, Admin","Fee, Invoice, Payment",Für alle aktiven Mitglieder werden Beiträge erzeugt und statusgeführt.,,
REQ-016,Mitglieder/CRM,Mitglieder Self‑Service Portal,Mitglieder können eigene Daten und Dokumente verwalten.,"• Profil bearbeiten
• Rechnungen/Beiträge einsehen
• Mitgliedsausweis/Bestätigungen downloaden",Must,Mitglied,"Member, Invoice, Document",Mitglied kann nur eigene Daten sehen und ändern (wo erlaubt).,,
